# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Sun Feb 22 16:37:05 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: DECAM (ABmags)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00020	Y = 0.24900	[M/H] = -1.890	eta_R = 0.200	Age = 	1.2000e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    DECam-u DES-g   DES-r   DES-i   DES-z   DES-Y	int_IMF	stage
	0.000200	10.0792	0.74022055	0.7396	0.0977	3.8034	4.3750	4.526	5.558	4.806	4.540	4.490	4.503	4.520	3.04393363	1
	0.000200	10.0792	0.74717629	0.7465	0.1484	3.8063	4.3399	4.399	5.426	4.670	4.415	4.370	4.385	4.403	3.04740691	1
	0.000200	10.0792	0.75000000	0.7493	0.1701	3.8074	4.3243	4.345	5.370	4.612	4.362	4.318	4.335	4.353	3.04879928	1
	0.000200	10.0792	0.75200576	0.7513	0.1855	3.8083	4.3136	4.306	5.330	4.571	4.323	4.281	4.299	4.317	3.04978204	1
	0.000200	10.0792	0.75856972	0.7578	0.2402	3.8110	4.2734	4.170	5.190	4.426	4.188	4.150	4.171	4.190	3.05296302	1
	0.000200	10.0792	0.76457596	0.7637	0.2945	3.8132	4.2310	4.034	5.052	4.282	4.053	4.019	4.042	4.061	3.05582738	1
	0.000200	10.0792	0.77017099	0.7692	0.3482	3.8147	4.1866	3.900	4.917	4.142	3.918	3.888	3.912	3.932	3.05845666	1
	0.000200	10.0792	0.77400422	0.7730	0.3878	3.8152	4.1513	3.800	4.819	4.039	3.819	3.789	3.814	3.835	3.06023669	1
	0.000200	10.0792	0.77565664	0.7746	0.4066	3.8151	4.1330	3.754	4.773	3.992	3.771	3.742	3.766	3.787	3.06099868	1
	0.000200	10.0792	0.78014517	0.7790	0.4622	3.8134	4.0731	3.614	4.642	3.854	3.630	3.598	3.621	3.641	3.06305289	1
	0.000200	10.0792	0.78328490	0.7821	0.5066	3.8107	4.0193	3.503	4.540	3.747	3.516	3.480	3.501	3.519	3.06447625	1
	0.000200	10.0792	0.78395432	0.7827	0.5169	3.8099	4.0062	3.478	4.517	3.723	3.490	3.453	3.472	3.490	3.06477833	2
	0.000200	10.0792	0.78569520	0.7844	0.5472	3.8063	3.9625	3.402	4.452	3.655	3.411	3.369	3.385	3.401	3.06556153	2
	0.000200	10.0792	0.78753418	0.7862	0.5834	3.8006	3.9047	3.311	4.377	3.576	3.315	3.265	3.275	3.289	3.06638527	2
	0.000200	10.0792	0.78897268	0.7876	0.6166	3.7937	3.8444	3.228	4.323	3.510	3.228	3.166	3.169	3.181	3.06702685	2
